Area of usual residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,Other method of travel to work,F10,F11,F12,F13,F14
E02000001,E02000001,1506,0,73,41,32,9,1,8,1,33,1304,4
E02000001,E02000014,2,0,2,0,0,0,0,0,0,0,0,0
E02000001,E02000016,3,0,1,0,2,0,0,0,0,0,0,0
E02000001,E02000025,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000028,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000051,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000053,2,0,2,0,0,0,0,0,0,0,0,0
E02000001,E02000057,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000058,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000059,1,0,0,0,0,1,0,0,0,0,0,0
E02000001,E02000061,2,0,0,2,0,0,0,0,0,0,0,0
E02000001,E02000078,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000094,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000100,2,0,2,0,0,0,0,0,0,0,0,0
E02000001,E02000104,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000114,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000119,6,0,6,0,0,0,0,0,0,0,0,0
E02000001,E02000121,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000124,1,0,0,0,0,0,0,0,0,1,0,0
E02000001,E02000127,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000144,7,0,0,0,0,0,0,0,0,0,7,0
E02000001,E02000159,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000166,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000167,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000168,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000169,1,0,0,0,1,0,0,0,0,0,0,0
E02000001,E02000171,3,0,1,0,0,0,0,0,0,0,2,0
E02000001,E02000172,3,0,1,0,0,0,0,1,0,0,1,0
E02000001,E02000173,4,0,3,0,0,0,0,0,0,0,1,0
E02000001,E02000175,3,0,0,1,0,0,1,0,0,0,1,0
E02000001,E02000178,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000179,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000180,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000181,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000182,5,0,1,0,4,0,0,0,0,0,0,0
E02000001,E02000183,8,0,6,0,0,0,0,1,0,0,1,0
E02000001,E02000184,7,0,3,1,0,0,1,0,0,1,1,0
E02000001,E02000185,1,0,0,0,1,0,0,0,0,0,0,0
E02000001,E02000186,31,0,21,0,2,0,0,0,0,6,2,0
E02000001,E02000187,12,0,7,2,0,0,0,1,0,0,2,0
E02000001,E02000188,6,0,4,2,0,0,0,0,0,0,0,0
E02000001,E02000189,3,0,1,0,2,0,0,0,0,0,0,0
E02000001,E02000190,12,0,9,0,1,0,0,0,0,1,1,0
E02000001,E02000191,53,0,28,0,9,0,0,2,0,9,5,0
E02000001,E02000192,65,0,3,4,2,1,0,1,0,5,49,0
E02000001,E02000193,123,0,20,7,27,2,2,0,1,4,58,2
E02000001,E02000196,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000208,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000213,3,0,2,1,0,0,0,0,0,0,0,0
E02000001,E02000215,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000220,2,0,0,2,0,0,0,0,0,0,0,0
E02000001,E02000243,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000248,2,0,1,1,0,0,0,0,0,0,0,0
E02000001,E02000252,5,0,4,0,0,0,0,0,0,0,1,0
E02000001,E02000256,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000257,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000260,1,0,0,0,0,0,0,0,0,1,0,0
E02000001,E02000268,2,0,1,1,0,0,0,0,0,0,0,0
E02000001,E02000269,3,0,2,1,0,0,0,0,0,0,0,0
E02000001,E02000270,2,0,2,0,0,0,0,0,0,0,0,0
E02000001,E02000271,1,0,0,0,1,0,0,0,0,0,0,0
E02000001,E02000290,1,0,0,0,0,0,0,0,0,1,0,0
E02000001,E02000291,2,0,1,1,0,0,0,0,0,0,0,0
E02000001,E02000296,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000302,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000306,2,0,0,2,0,0,0,0,0,0,0,0
E02000001,E02000316,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000342,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000345,1,0,0,0,0,0,0,0,0,1,0,0
E02000001,E02000347,1,0,0,0,0,0,0,0,0,1,0,0
E02000001,E02000351,1,0,0,0,1,0,0,0,0,0,0,0
E02000001,E02000357,2,0,0,0,0,0,0,0,0,2,0,0
E02000001,E02000361,2,0,0,1,1,0,0,0,0,0,0,0
E02000001,E02000362,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000363,8,0,0,1,1,0,0,4,0,2,0,0
E02000001,E02000365,3,0,0,0,1,0,0,0,0,1,1,0
E02000001,E02000366,1,0,0,0,1,0,0,0,0,0,0,0
E02000001,E02000367,3,0,0,0,2,0,0,0,0,0,1,0
E02000001,E02000369,7,0,0,0,6,0,0,0,0,0,1,0
E02000001,E02000370,7,0,0,0,0,0,0,0,0,0,7,0
E02000001,E02000371,91,0,10,4,4,0,0,2,1,8,62,0
E02000001,E02000372,11,0,10,0,0,0,0,0,1,0,0,0
E02000001,E02000375,10,0,10,0,0,0,0,0,0,0,0,0
E02000001,E02000376,3,0,0,1,0,0,0,0,0,0,2,0
E02000001,E02000378,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000380,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000382,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000383,3,0,3,0,0,0,0,0,0,0,0,0
E02000001,E02000384,9,0,6,0,1,0,0,0,0,1,1,0
E02000001,E02000386,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000387,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000388,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000389,5,0,5,0,0,0,0,0,0,0,0,0
E02000001,E02000390,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000391,3,0,3,0,0,0,0,0,0,0,0,0
E02000001,E02000394,3,0,3,0,0,0,0,0,0,0,0,0
E02000001,E02000395,4,0,4,0,0,0,0,0,0,0,0,0
E02000001,E02000397,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000423,4,0,0,2,0,0,0,2,0,0,0,0
E02000001,E02000424,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000430,2,0,0,1,1,0,0,0,0,0,0,0
E02000001,E02000434,2,0,2,0,0,0,0,0,0,0,0,0
E02000001,E02000436,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000461,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000476,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000480,2,0,0,1,0,0,0,0,0,1,0,0
E02000001,E02000487,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000501,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000508,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000509,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000520,2,0,0,0,0,0,0,2,0,0,0,0
E02000001,E02000524,6,0,5,1,0,0,0,0,0,0,0,0
E02000001,E02000532,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000534,2,0,1,0,0,0,0,1,0,0,0,0
E02000001,E02000543,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000554,1,0,0,0,0,0,0,0,0,1,0,0
E02000001,E02000555,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000557,4,0,4,0,0,0,0,0,0,0,0,0
E02000001,E02000558,1,0,0,0,0,0,1,0,0,0,0,0
E02000001,E02000559,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000560,3,0,0,0,2,0,0,1,0,0,0,0
E02000001,E02000563,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000564,3,0,1,0,1,0,0,0,0,1,0,0
E02000001,E02000565,2,0,0,0,1,0,0,0,0,1,0,0
E02000001,E02000566,6,0,2,1,2,0,0,0,0,0,1,0
E02000001,E02000567,3,0,0,0,2,0,0,0,0,1,0,0
E02000001,E02000568,6,0,3,1,2,0,0,0,0,0,0,0
E02000001,E02000569,2,0,0,0,1,0,0,0,0,0,1,0
E02000001,E02000570,2,0,0,0,0,0,0,0,0,1,1,0
E02000001,E02000571,3,0,0,0,1,0,0,0,0,2,0,0
E02000001,E02000572,4,0,1,0,1,0,0,0,0,2,0,0
E02000001,E02000573,17,0,0,0,3,0,0,0,0,5,9,0
E02000001,E02000574,23,0,7,0,0,0,0,2,0,1,13,0
E02000001,E02000575,129,0,6,5,3,0,2,3,1,6,102,1
E02000001,E02000576,124,0,1,0,5,0,0,0,0,1,117,0
E02000001,E02000577,2,0,1,0,0,0,0,1,0,0,0,0
E02000001,E02000578,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000579,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000580,3,0,2,1,0,0,0,0,0,0,0,0
E02000001,E02000581,2,0,1,0,0,0,0,0,0,1,0,0
E02000001,E02000583,3,0,3,0,0,0,0,0,0,0,0,0
E02000001,E02000586,5,0,4,0,0,0,0,1,0,0,0,0
E02000001,E02000588,12,0,8,0,2,2,0,0,0,0,0,0
E02000001,E02000589,3,0,2,1,0,0,0,0,0,0,0,0
E02000001,E02000590,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000592,8,0,6,2,0,0,0,0,0,0,0,0
E02000001,E02000593,2,0,2,0,0,0,0,0,0,0,0,0
E02000001,E02000594,2,0,1,0,0,0,0,0,0,0,1,0
E02000001,E02000595,3,0,3,0,0,0,0,0,0,0,0,0
E02000001,E02000596,3,0,2,0,0,0,0,0,0,1,0,0
E02000001,E02000600,2,0,0,1,0,0,0,1,0,0,0,0
E02000001,E02000610,1,0,0,0,0,0,1,0,0,0,0,0
E02000001,E02000620,8,0,4,0,0,0,1,0,0,2,1,0
E02000001,E02000621,2,0,2,0,0,0,0,0,0,0,0,0
E02000001,E02000622,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000623,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000624,2,0,0,0,2,0,0,0,0,0,0,0
E02000001,E02000631,3,0,2,0,0,0,0,0,0,1,0,0
E02000001,E02000633,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000638,1,0,0,0,1,0,0,0,0,0,0,0
E02000001,E02000657,5,0,1,2,0,0,0,0,0,1,1,0
E02000001,E02000658,2,0,0,0,0,0,0,2,0,0,0,0
E02000001,E02000661,3,0,3,0,0,0,0,0,0,0,0,0
E02000001,E02000664,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000668,2,0,0,2,0,0,0,0,0,0,0,0
E02000001,E02000670,3,0,3,0,0,0,0,0,0,0,0,0
E02000001,E02000671,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000685,2,0,0,0,2,0,0,0,0,0,0,0
E02000001,E02000689,2,0,0,1,0,0,0,0,0,0,0,1
E02000001,E02000691,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000692,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000697,2,0,0,1,0,0,0,1,0,0,0,0
E02000001,E02000710,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000714,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000721,2,0,1,1,0,0,0,0,0,0,0,0
E02000001,E02000722,3,0,1,1,1,0,0,0,0,0,0,0
E02000001,E02000723,2,0,2,0,0,0,0,0,0,0,0,0
E02000001,E02000725,3,0,1,1,0,0,0,1,0,0,0,0
E02000001,E02000726,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000728,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000729,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000730,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000731,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000733,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000738,2,0,0,0,0,0,0,0,0,0,2,0
E02000001,E02000739,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000741,5,0,5,0,0,0,0,0,0,0,0,0
E02000001,E02000743,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000747,2,0,2,0,0,0,0,0,0,0,0,0
E02000001,E02000748,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000751,2,0,2,0,0,0,0,0,0,0,0,0
E02000001,E02000759,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000765,1,0,0,0,0,0,0,1,0,0,0,0
E02000001,E02000772,3,0,0,3,0,0,0,0,0,0,0,0
E02000001,E02000773,1,0,0,0,0,0,0,0,0,1,0,0
E02000001,E02000786,1,0,0,0,0,0,0,0,0,0,1,0
E02000001,E02000788,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000794,1,0,0,1,0,0,0,0,0,0,0,0
E02000001,E02000807,1,0,1,0,0,0,0,0,0,0,0,0
E02000001,E02000808,82,0,5,2,11,4,1,0,0,7,52,0
